客户,租约编号,表编号,表类型,建筑面积,单价,上次读数,本次读数,数量,金额（元）,帐单开始时间,帐单结束时间,付款公司
民生财富投资管理有限公司,TJMT00021,NSE228427,ELECTRICITY_CHG,551.09,1.1544,11153.1,11415.2,262.1,302.57,2/1/2019,2/28/2019,5252
平安国际融资租赁有限公司,TJMT00029,NSE228657,ELECTRICITY_CHG,445.82,1.1544,112860,115142,2282,2634.34,2/1/2019,2/28/2019,5252
宇卓（天津）能源装备技术股份有限公司,TJMT00036,NSE228598,ELECTRICITY_CHG,158.26,1.1544,10436.8,10808.5,371.7,429.09,2/1/2019,2/28/2019,5252
天津象屿速传物流有限公司,TJMT00034,NSE228662,ELECTRICITY_CHG,1085.11,1.1544,24506.8,24995.4,488.6,564.04,2/1/2019,2/28/2019,5252
天津象屿速传物流有限公司,TJMT00034,NSE228588,ELECTRICITY_CHG,1085.11,1.1544,24079.2,24503.3,424.1,489.58,2/1/2019,2/28/2019,5252
天津象屿速传物流有限公司,TJMT00034,NSE228429,ELECTRICITY_CHG,1085.11,1.1544,8702.37,8917.48,215.11,248.32,2/1/2019,2/28/2019,5252
天津象屿速传物流有限公司,TJMT00034,NSE228705,ELECTRICITY_CHG,1085.11,1.1544,65480.4,66779,1298.6,1499.1,2/1/2019,2/28/2019,5252
诺远资产管理有限公司 ,TJMT00031,NSE228660,ELECTRICITY_CHG,2205.91,1.1544,17341.6,17479.8,138.2,159.54,2/1/2019,2/28/2019,5252
诺远资产管理有限公司 ,TJMT00031,NSE228433,ELECTRICITY_CHG,2205.91,1.1544,26259.2,26469.1,209.9,242.31,2/1/2019,2/28/2019,5252
诺远资产管理有限公司 ,TJMT00031,NSE228612,ELECTRICITY_CHG,2205.91,1.1544,7880.25,7970.94,90.69,104.69,2/1/2019,2/28/2019,5252
诺远资产管理有限公司 ,TJMT00031,NSE228614,ELECTRICITY_CHG,2205.91,1.1544,48732.6,48985.4,252.8,291.83,2/1/2019,2/28/2019,5252
